nodeName	altName	nodeAttr[nodesPresent, ]
TraesCS2D02G305600	GO:0042274	brown
TraesCS2D02G312000	GO:0016747,GO:0016746,GO:0006633,GO:0004315,GO:0016740,GO:0006629,GO:0006631	brown
TraesCS2D02G324900	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS2D02G327400	GO:0003723,GO:0000373,GO:0000372,GO:0009532	brown
TraesCS2D02G334900	GO:0003723,GO:0005515,GO:0000373,GO:0009658	brown
TraesCS2D02G342900		brown
TraesCS2D02G347100		brown
TraesCS2D02G352100	GO:0009793,GO:0009507	brown
TraesCS2D02G371000	GO:0009535,GO:0009941	brown
TraesCS2D02G389900	GO:0009507,GO:0003729,GO:0005515	brown
TraesCS2D02G390500		brown
TraesCS2D02G395600	GO:0003824,GO:0016829,GO:0009089,GO:0008840,GO:0009507,GO:0009536,GO:0008152,GO:0008652,GO:0009085,GO:0019877	brown
TraesCS2D02G400500	GO:0008270,GO:0005515	brown
TraesCS2D02G409900	GO:0005618,GO:0042545,GO:0030599,GO:0045330,GO:0045490	brown
